epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12882.2,0.80532,0.68282,1.2245,0.94162,0.93226,0.95495,0.76559,0.81771,0.50981,1.27777,0.005842,0.005842,0.005842
44,13182.2,0.79935,0.66275,1.23094,0.94771,0.92483,0.94881,0.76874,0.81429,0.50947,1.29064,0.005743,0.005743,0.005743
45,13486.3,0.80448,0.66258,1.22795,0.93286,0.91795,0.96042,0.78284,0.79981,0.54216,1.28438,0.005644,0.005644,0.005644
46,13786.3,0.78547,0.64227,1.22337,0.94357,0.92405,0.9536,0.77743,0.80653,0.52473,1.29478,0.005545,0.005545,0.005545
47,14089.7,0.77897,0.63171,1.21804,0.93884,0.9338,0.9507,0.77477,0.80661,0.50186,1.27861,0.005446,0.005446,0.005446
48,14390.6,0.76687,0.62394,1.20588,0.93774,0.93298,0.95293,0.77636,0.80068,0.48511,1.29382,0.005347,0.005347,0.005347
49,14692.8,0.75674,0.61434,1.19816,0.93671,0.93322,0.9504,0.77762,0.79899,0.51726,1.2641,0.005248,0.005248,0.005248
50,14995.3,0.78021,0.62158,1.21095,0.91711,0.9347,0.94748,0.77015,0.80078,0.51883,1.27828,0.005149,0.005149,0.005149
51,15269.1,0.76829,0.61682,1.20864,0.93695,0.94037,0.94656,0.77178,0.81248,0.50441,1.27547,0.00505,0.00505,0.00505
52,15435.7,0.75783,0.61002,1.19452,0.95513,0.92692,0.95633,0.77352,0.82439,0.47531,1.29327,0.004951,0.004951,0.004951
53,15605.5,0.73923,0.58725,1.17541,0.94512,0.92357,0.9471,0.76939,0.81564,0.51084,1.30263,0.004852,0.004852,0.004852
54,15808.5,0.7555,0.60486,1.18888,0.95487,0.92241,0.95067,0.77548,0.80278,0.49061,1.28163,0.004753,0.004753,0.004753
55,16125.2,0.72811,0.58838,1.17962,0.94378,0.93042,0.94989,0.77633,0.80281,0.49078,1.28029,0.004654,0.004654,0.004654
56,16456.3,0.73009,0.57907,1.17318,0.95163,0.94113,0.95804,0.77945,0.80378,0.45662,1.28264,0.004555,0.004555,0.004555
57,16797.4,0.72677,0.56887,1.18197,0.95371,0.9338,0.94795,0.77902,0.80997,0.49662,1.2925,0.004456,0.004456,0.004456
58,17137.7,0.72781,0.56607,1.1787,0.94243,0.93375,0.95236,0.78359,0.79507,0.43524,1.27867,0.004357,0.004357,0.004357
59,17479.3,0.69675,0.54448,1.15546,0.93788,0.92561,0.95029,0.78184,0.82741,0.49346,1.31729,0.004258,0.004258,0.004258
60,17647.2,0.69857,0.54183,1.15081,0.94264,0.94599,0.95767,0.78185,0.83514,0.46017,1.32665,0.004159,0.004159,0.004159
61,17777.9,0.68661,0.53034,1.14034,0.95634,0.93749,0.95946,0.78407,0.81762,0.44136,1.3049,0.00406,0.00406,0.00406
62,17908.9,0.69182,0.53845,1.1473,0.94721,0.93548,0.95709,0.78188,0.79879,0.47458,1.29577,0.003961,0.003961,0.003961
63,18040.1,0.67518,0.52766,1.14128,0.95027,0.94524,0.95882,0.78627,0.81324,0.45313,1.31361,0.003862,0.003862,0.003862
64,18170.8,0.68078,0.52069,1.14245,0.94919,0.94479,0.95718,0.78531,0.81253,0.47099,1.31946,0.003763,0.003763,0.003763
65,18300.8,0.67111,0.51939,1.13318,0.9452,0.9369,0.95514,0.78283,0.82718,0.49118,1.34107,0.003664,0.003664,0.003664
66,18431.6,0.66366,0.51155,1.1341,0.94467,0.94322,0.95698,0.78495,0.81004,0.45438,1.33634,0.003565,0.003565,0.003565
67,18561.4,0.65611,0.50514,1.12472,0.94922,0.93176,0.95294,0.7828,0.81427,0.45669,1.33162,0.003466,0.003466,0.003466
68,18691.3,0.64604,0.50246,1.11703,0.95835,0.92311,0.94952,0.7823,0.80498,0.45016,1.31885,0.003367,0.003367,0.003367
69,18821.9,0.64417,0.5036,1.12228,0.94677,0.93813,0.95671,0.78753,0.79028,0.43912,1.32271,0.003268,0.003268,0.003268
70,18952.6,0.64448,0.48803,1.11719,0.93441,0.9406,0.95285,0.78386,0.80288,0.44949,1.32955,0.003169,0.003169,0.003169
71,19082.7,0.63786,0.49152,1.10786,0.94248,0.93067,0.94884,0.78212,0.80346,0.49647,1.3369,0.00307,0.00307,0.00307
72,19212.5,0.63005,0.47338,1.10229,0.94419,0.94226,0.95786,0.78792,0.81519,0.46991,1.34015,0.002971,0.002971,0.002971
73,19342.8,0.62376,0.48263,1.10026,0.94261,0.93199,0.95422,0.7842,0.8071,0.46945,1.34502,0.002872,0.002872,0.002872
